Unnamed: 0,state,district,name,party,committee,page_link
27,California,6th,"Bera, Ami",D,Foreign Affairs|Intelligence|Select Subcommittee on the Coronavirus Pandemic,https://bera.house.gov
28,California,7th,"Matsui, Doris",D,Energy and Commerce,https://matsui.house.gov
29,California,8th,"Garamendi, John",D,Armed Services|Select Subcommittee on the Weaponization of the Fed Govt|Transportation and Infrastructure,https://garamendi.house.gov/
30,California,9th,"Harder, Josh",D,Appropriations,https://harder.house.gov/
31,California,10th,"DeSaulnier, Mark",D,Education and the Workforce|Transportation and Infrastructure|Ethics,https://desaulnier.house.gov/
32,California,11th,"Pelosi, Nancy",D,,https://pelosi.house.gov/
33,California,12th,"Lee, Barbara",D,Appropriations|Budget,https://lee.house.gov/
34,California,13th,"Duarte, John",R,Agriculture|Natural Resources|Transportation and Infrastructure,https://duarte.house.gov
35,California,14th,"Swalwell, Eric",D,Homeland Security|Judiciary,https://swalwell.house.gov
36,California,15th,"Mullin, Kevin",D,"Natural Resources|Science, Space, and Technology",https://kevinmullin.house.gov
37,California,16th,"Eshoo, Anna",D,Energy and Commerce,https://eshoo.house.gov/
38,California,17th,"Khanna, Ro",D,Armed Services|Oversight and Accountability|Select Comm on the Strategic Competition US and China,https://khanna.house.gov
39,California,18th,"Lofgren, Zoe",D,"Judiciary|Science, Space, and Technology",https://lofgren.house.gov/
40,California,19th,"Panetta, Jimmy",D,Armed Services|Budget|Ways and Means,https://panetta.house.gov
41,California,20th,"Fong, Vince",R,"Transportation and Infrastructure|Science, Space, and Technology",https://fong.house.gov/
42,California,21st,"Costa, Jim",D,Agriculture|Foreign Affairs,https://costa.house.gov/
43,California,22nd,"Valadao, David",R,Appropriations|Budget|Joint Committee of Congress on the Library,https://valadao.house.gov
44,California,23rd,"Obernolte, Jay",R,"Energy and Commerce|Science, Space, and Technology",https://obernolte.house.gov
45,California,24th,"Carbajal, Salud",D,Agriculture|Armed Services|Transportation and Infrastructure,https://carbajal.house.gov
46,California,25th,"Ruiz, Raul",D,Energy and Commerce|Select Subcommittee on the Coronavirus Pandemic,https://ruiz.house.gov
47,California,26th,"Brownley, Julia",D,Transportation and Infrastructure|Veterans' Affairs,https://juliabrownley.house.gov
48,California,27th,"Garcia, Mike",R,"Appropriations|Intelligence|Science, Space, and Technology",https://mikegarcia.house.gov/
49,California,28th,"Chu, Judy",D,Small Business|Ways and Means,https://chu.house.gov/
50,California,29th,"Cardenas, Tony",D,Energy and Commerce,https://cardenas.house.gov
51,California,30th,"Schiff, Adam",D,Judiciary,https://schiff.house.gov/
52,California,31st,"Napolitano, Grace",D,Natural Resources|Transportation and Infrastructure,https://napolitano.house.gov/
53,California,32nd,"Sherman, Brad",D,Financial Services|Foreign Affairs,https://sherman.house.gov
54,California,33rd,"Aguilar, Pete",D,Appropriations,https://aguilar.house.gov/
55,California,34th,"Gomez, Jimmy",D,Intelligence|Ways and Means,https://gomez.house.gov/
